PT_ID;TILE;SECTION;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40991507;40;LKO_CAN;2.41;2;1.7970000000000002;0.2677777777777778;0.2222222222222222;0.1996666666666667
40991508;40;LKO_CAN;4.274;2;3.608;0.2849333333333333;0.13333333333333333;0.24053333333333335
40991509;40;LKO_CAN;21.627;12;13.028;0.7723928571428571;0.42857142857142855;0.4652857142857143
40991510;40;LKO_CAN;21.572;11;12.097;0.798962962962963;0.4074074074074074;0.448037037037037
40991511;40;LKO_CAN;19.709;16;6.66;0.78836;0.64;0.2664
40991512;40;LKO_CAN;18.0;13;7.193;0.8181818181818182;0.5909090909090909;0.32695454545454544
40991513;40;LKO_CAN;17.726;11;8.376;0.844095238095238;0.5238095238095238;0.39885714285714285
40991514;40;LKO_CAN;19.903;15;8.678;0.7371481481481481;0.5555555555555556;0.3214074074074074
40991515;40;LKO_CAN;19.505;13;8.549;0.7802;0.52;0.34196
40991516;40;LKO_CAN;19.689;16;6.564;0.78756;0.64;0.26256
40991517;40;LKO_CAN;20.028;17;6.303;0.7703076923076922;0.6538461538461539;0.2424230769230769
40991518;40;LKO_CAN;20.769;15;9.24;0.7692222222222221;0.5555555555555556;0.3422222222222222
40991519;40;LKO_CAN;19.136;13;8.249;0.832;0.5652173913043478;0.3586521739130435
40991520;40;LKO_CAN;21.487000000000002;16;8.415;0.826423076923077;0.6153846153846154;0.3236538461538461
40991521;40;LKO_CAN;21.495;17;8.446;0.8267307692307693;0.6538461538461539;0.32484615384615384
40991522;40;LKO_CAN;16.885;15;4.0;0.8886842105263159;0.7894736842105263;0.21052631578947367
40991523;40;LKO_CAN;18.092;14;5.202;0.9046;0.7;0.2601
40991524;40;LKO_CAN;20.479;15;8.701;0.81916;0.6;0.34804
40991525;40;LKO_CAN;21.197;17;8.436;0.8152692307692307;0.6538461538461539;0.32446153846153847
40991526;40;LKO_CAN;5.601;4;4.591;0.3294705882352941;0.23529411764705882;0.2700588235294118
40991527;40;LKO_CAN;2.104;1;1.7710000000000001;0.263;0.125;0.22137500000000002
40991528;40;LKO_CAN;6.15;7;0.0;0.8785714285714287;1.0;0.0
40991529;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40991559;40;LKO_CAN;0.437;1;0.0;0.437;1.0;0.0
40992289;40;LKO_CAN;0.5760000000000001;0;0.5760000000000001;0.19200000000000003;0.0;0.19200000000000003
40992498;40;LKO_CAN;0.127;0;0.127;0.127;0.0;0.127
40992499;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40992500;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40992501;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40992502;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40992503;40;LKO_CAN;0.257;0;0.257;0.257;0.0;0.257
40992504;40;LKO_CAN;0.204;0;0.204;0.204;0.0;0.204
40992505;40;LKO_CAN;0.21;0;0.21;0.21;0.0;0.21
40992506;40;LKO_CAN;0.728;0;0.728;0.182;0.0;0.182
40992507;40;LKO_CAN;2.223;2;1.592;0.247;0.2222222222222222;0.1768888888888889
40992508;40;LKO_CAN;9.687;4;7.7490000000000006;0.4403181818181818;0.18181818181818182;0.3522272727272728
40992509;40;LKO_CAN;21.034;11;12.431;0.8089999999999999;0.4230769230769231;0.4781153846153846
40992510;40;LKO_CAN;19.541;15;6.8839999999999995;0.8142083333333333;0.625;0.28683333333333333
40992511;40;LKO_CAN;18.012999999999998;14;6.842;0.8187727272727272;0.6363636363636364;0.311
40992512;40;LKO_CAN;17.211;12;6.771;0.8605499999999999;0.6;0.33855
40992513;40;LKO_CAN;17.663;12;7.1850000000000005;0.8410952380952381;0.5714285714285714;0.3421428571428572
40992514;40;LKO_CAN;19.823;15;8.261;0.7341851851851852;0.5555555555555556;0.30596296296296294
40992515;40;LKO_CAN;19.099;14;7.797;0.76396;0.56;0.31188
40992516;40;LKO_CAN;20.045;17;6.301;0.7709615384615385;0.6538461538461539;0.24234615384615385
40992517;40;LKO_CAN;19.98;15;8.761;0.74;0.5555555555555556;0.3244814814814814
40992518;40;LKO_CAN;21.663;17;8.019;0.8331923076923077;0.6538461538461539;0.3084230769230769
40992519;40;LKO_CAN;15.868;13;4.0;0.9334117647058824;0.7647058823529411;0.23529411764705882
40992520;40;LKO_CAN;21.016;16;8.737;0.8083076923076923;0.6153846153846154;0.33603846153846156
40992521;40;LKO_CAN;21.213;16;8.366999999999999;0.84852;0.64;0.33468
40992522;40;LKO_CAN;17.544999999999998;16;4.0;0.8772499999999999;0.8;0.2
40992523;40;LKO_CAN;16.235;14;3.877;0.9019444444444444;0.7777777777777778;0.21538888888888888
40992524;40;LKO_CAN;16.919999999999998;15;4.0;0.8905263157894736;0.7894736842105263;0.21052631578947367
40992525;40;LKO_CAN;21.626;11;12.857;0.800962962962963;0.4074074074074074;0.47618518518518516
40992526;40;LKO_CAN;18.232;10;11.584;0.7012307692307692;0.38461538461538464;0.44553846153846155
40992527;40;LKO_CAN;19.853;9;12.097;0.79412;0.36;0.48388
40992528;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40992555;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40993288;40;LKO_CAN;8.891;12;0.0;0.7409166666666667;1.0;0.0
40993289;40;LKO_CAN;19.256;15;6.63;0.8023333333333333;0.625;0.27625
40993498;40;LKO_CAN;0.304;0;0.304;0.304;0.0;0.304
40993499;40;LKO_CAN;0.327;0;0.327;0.327;0.0;0.327
40993500;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40993501;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
