PT_ID;XVAL;YVAL;X_COORD;Y_COORD
40943287;633585;5035075;4.52480745562374;-37.183908398249116
40944486;635575;5035085;4.538996587335063;-37.182966466681286
40946287;633585;5035105;4.524794301186704;-37.18369518348287
40946489;635605;5035105;4.539201760966976;-37.182811172822966
40947489;635605;5035115;4.539197362131093;-37.182740100811536
40947490;635615;5035115;4.53926868567928;-37.182735717455095
40948492;635635;5035125;4.539406933715716;-37.182655878583255
40949492;635635;5035135;4.539402534665999;-37.18258480670264
40949493;635645;5035135;4.539473858062353;-37.182580423131874
40950494;635655;5035145;4.539540782263026;-37.182504967674916
40950495;635665;5035145;4.539612105581286;-37.18250058396217
40951287;633585;5035155;4.524772377068698;-37.18333982693081
40951496;635675;5035155;4.53967902956225;-37.18242512842727
40952497;635685;5035165;4.53974595339725;-37.18234967288678
40954498;635695;5035185;4.539808477606075;-37.182203145791355
40954499;635705;5035185;4.539879800629358;-37.18219876178911
40955499;635705;5035195;4.539875401076927;-37.182127690306544
40955500;635715;5035195;4.539946724026466;-37.18212330623191
40956500;635715;5035205;4.539942324401815;-37.182052234816155
40957501;635725;5035215;4.540009247580737;-37.18197677932019
40959287;633585;5035235;4.524737298333568;-37.18277126006595
40960503;635745;5035245;4.540138693656552;-37.181754797165794
40961504;635755;5035255;4.540205616325359;-37.18167934171992
40961505;635765;5035255;4.540276938836777;-37.18167495728062
40962505;635765;5035265;4.5402725388482015;-37.18160388626848
40963505;635765;5035275;4.540268138856802;-37.18153281532592
40964506;635775;5035285;4.540335061161457;-37.181457359935706
40969287;633585;5035335;4.5246934496614335;-37.18206055774754
40969509;635805;5035335;4.540527026630596;-37.181088852589774
40970287;633585;5035345;4.524689064778745;-37.18198948789841
40970538;636095;5035345;4.5425909586639515;-37.18089059431093
40971537;636085;5035355;4.542515234685926;-37.18082391059689
40972287;633585;5035365;4.524680295004932;-37.18184734840894
40972539;636105;5035365;4.542653475653074;-37.1807440665889
40972540;636115;5035365;4.54272479724889;-37.18073967968321
